dt,kabupaten,jumlah_kejadian,meninggal,hilang,luka_sakit,menderita,mengungsi,rumah_rusak_berat,rumah_rusak_sedang,rumah_rusak_ringan,rumah_terendam,estimasi_kerugian_rumah,pendidikan_rusak,fasyankes_rusak,rumah_ibadat_rusak,fasum_rusak,jembatan_rusak,kantor_rusak
2025-05-23 09:15:00,Kota Adm. Jakarta Timur,1,0,0,0,351,0,0,0,0,131,131,0,0,0,0,0,0
2025-05-16 16:30:00,Kota Adm. Jakarta Timur,1,0,0,0,450,0,0,0,0,150,150,0,0,0,0,0,0
2025-05-15 08:10:00,Kota Adm. Jakarta Timur,1,0,0,0,390,0,0,0,0,133,133,0,0,0,0,0,0
2025-04-12 01:30:00,Kota Adm. Jakarta Timur,1,0,0,0,125,0,0,0,0,44,44,0,0,0,0,0,0
2025-03-18 10:21:00,Kota Adm. Jakarta Selatan,0.333333333,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
2025-03-18 10:21:00,Kota Adm. Jakarta Timur,0.333333333,0,0,0,721,0,0,0,0,190,190,0,0,0,0,0,0
2025-03-18 10:21:00,Kota Adm. Jakarta Barat,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-03 07:45:00,Kota Adm. Jakarta Selatan,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-03 00:30:00,Kota Adm. Jakarta Selatan,0.25,1,0,0,2128,3195,0,0,0,1411,1411,0,0,0,0,0,0
2025-03-03 00:30:00,Kota Adm. Jakarta Timur,0.25,0,0,0,1818,3092,0,0,0,0,0,0,0,0,0,0,0
2025-03-03 00:30:00,Kota Adm. Jakarta Barat,0.25,0,0,0,456,293,0,0,0,0,0,0,0,0,0,0,0
2025-02-08 02:45:00,Kota Adm. Jakarta Barat,1,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0
2025-02-07 00:30:00,Kota Adm. Jakarta Barat,1,0,0,0,0,310,0,0,0,86,86,0,0,0,0,0,0
2025-01-29 17:10:00,Kota Adm. Jakarta Utara,1,0,0,0,0,1985,0,0,0,0,0,0,0,0,0,0,0
2025-01-29 09:00:00,Kota Adm. Jakarta Barat,1,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0
2025-01-29 08:00:00,Kota Adm. Jakarta Timur,1,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0
2025-01-28 19:00:00,Kota Adm. Jakarta Barat,1,0,0,0,300,3644,0,0,0,700,700,0,0,0,0,0,0
2024-11-28 00:01:00,Kota Adm. Jakarta Timur,1,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0
2024-11-27 23:00:00,Kota Adm. Jakarta Selatan,1,0,0,0,3069,206,0,0,0,950,950,0,0,0,0,0,0
2024-11-24 00:01:00,Kota Adm. Jakarta Selatan,1,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0
2024-11-19 00:01:00,Kota Adm. Jakarta Selatan,1,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0
2024-09-12 23:30:00,Kota Adm. Jakarta Timur,1,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-25 06:00:00,Kota Adm. Jakarta Timur,1,0,0,0,463,0,0,0,0,146,146,0,0,0,0,0,0
2024-04-03 19:00:00,Kota Adm. Jakarta Barat,0.333333333,0,0,0,1005,0,0,0,0,320,320,0,0,0,0,0,0
2024-03-22 06:00:00,Kota Adm. Jakarta Barat,0.25,0,0,0,930,0,0,0,0,245,245,0,0,0,0,0,0
2024-02-14 06:00:00,Kota Adm. Jakarta Barat,1,0,0,0,223,0,0,0,0,50,50,0,0,0,0,0,0
2024-02-05 17:00:00,Kota Adm. Jakarta Barat,1,0,0,0,78,0,0,0,0,26,26,0,0,0,0,0,0
2024-01-31 00:01:00,Kota Adm. Jakarta Utara,1,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0
2024-01-13 15:00:00,Kota Adm. Jakarta Barat,0.333333333,0,0,0,975,0,0,0,0,314,314,0,0,0,0,0,0
2024-01-07 07:30:00,Kota Adm. Jakarta Barat,0.5,0,0,0,1165,0,0,0,0,364,364,0,0,0,0,0,0
2024-01-05 18:30:00,Kota Adm. Jakarta Selatan,1,0,0,0,975,0,0,0,0,314,314,0,0,0,0,0,0
